categoria,subcategoria,nombre,sku,descripcion,tallas,imagen_url,disponible,destacado,precio_1,qty_tier2,precio_tier2,qty_tier3,precio_tier3,qty_tier4,precio_tier4,qty_tier5,precio_tier5,qty_minima
Perfumes,Ariana Grande,CLOUD 100ML,XP135,Eau de Parfum,,https://i.ebayimg.com/images/g/iSkAAOSwk8JdscJo/s-l1600.webp,TRUE,FALSE,45,25,35,50,30,100,25,,,10
Perfumes,Armaf,CLUB DE NUIT INTENSE MAN 105ML,XP207,Eau de Toilette Intense,,https://i.ebayimg.com/images/g/v3UAAOSwgdhoJkuM/s-l1600.webp,TRUE,FALSE,45,25,35,50,30,100,25,,,10
Perfumes,Armaf,CLUB DE NUIT WOMEN 105ML,XP215,Eau de Parfum,,https://i.ebayimg.com/images/g/rCUAAeSwzp1p3W-r/s-l1600.webp,TRUE,FALSE,45,25,35,50,30,100,25,,,10
Perfumes,Armaf,CLUB DE NUIT URBAN ELIXIR MEN 105ML,XP296,Eau de Parfum Elixir,,https://i.ebayimg.com/images/g/QagAAOSwAk5j4nFX/s-l960.webp,TRUE,FALSE,45,25,35,50,30,100,25,,,10
Perfumes,Armani,MY WAY 90 ML,XP24,Eau de Parfum,,https://perfumania.com/cdn/shop/products/I0115884larger.jpg?format=pjpg&v=1625603200&width=650,TRUE,FALSE,45,25,35,50,30,100,25,,,10
Perfumes,Armani,MY WAY NECTAR 90ML,V094,Eau de Parfum,,https://valenciaperfumes.com/cdn/shop/files/361FF5DA-EE43-40DE-9789-1962F8EEBFA2.png?v=1714753410&width=990,TRUE,FALSE,45,25,35,50,30,100,25,,,10
Perfumes,Armani,MY WAY INTENSE 90ML,S095,Eau de Parfum,,https://i.ebayimg.com/images/g/a2wAAeSwhPFp4a83/s-l1600.webp,TRUE,FALSE,45,25,35,50,30,100,25,,,10
Perfumes,Armani,STRONGER WITH YOU ABSOLUTELY 100ML,XP116,Parfum,,https://i.ebayimg.com/images/g/8-0AAOSwBjxnPFdo/s-l1600.webp,TRUE,FALSE,45,25,35,50,30,100,25,,,10
Perfumes,Armani,STRONGER WITH YOU AMBAR 100ML,XP243,Eau de Parfum,,https://i.ebayimg.com/images/g/8egAAeSwh9RpGoOV/s-l960.webp,TRUE,FALSE,45,25,35,50,30,100,25,,,10
Perfumes,Armani,STRONGER WITH YOU INTENSELY 100ML,XP316,Eau de Parfum,,https://i.ebayimg.com/images/g/7hkAAOSw~5lluE7o/s-l1600.webp,TRUE,FALSE,45,25,35,50,30,100,25,,,10
Perfumes,Armani,ARMANI CODE PARFUM 100ML,XP168,Parfum,,https://i.ebayimg.com/images/g/9REAAOSwtTlnppcB/s-l1600.webp,TRUE,FALSE,45,25,35,50,30,100,25,,,10
Perfumes,Armani,ACQUA DI GIO PROFUMO 100ML,XP34,Parfum,,https://i.ebayimg.com/images/g/xm8AAeSw-SxpRl98/s-l1600.webp,TRUE,FALSE,45,25,35,50,30,100,25,,,10
Perfumes,Armani,ACQUA DI GIO ELIXIR 100ML,XP297,Parfum Elixir.,,https://i.ebayimg.com/images/g/A84AAeSwLvhomfVn/s-l1600.webp,TRUE,FALSE,45,25,35,50,30,100,25,,,10
Perfumes,Armani,ACQUA DI GIO EDT 100ML,XP169,Eau de Toilette,,https://i.ebayimg.com/images/g/dq0AAeSwG6ZppkqW/s-l960.webp,TRUE,FALSE,45,25,35,50,30,100,25,,,10
Perfumes,Armani,ABSOLU INSTINCT 125 ML,XP333,Eau de Parfum,,https://i.ebayimg.com/images/g/vAkAAOSwJLxn-XGA/s-l1600.webp,TRUE,FALSE,45,25,35,50,30,100,25,,,10
Perfumes,Armani,THE YULONG 100ML,XP165,Eau de Toilette,,https://i.ebayimg.com/images/g/65IAAeSwAk9oZ2u7/s-l1600.webp,TRUE,FALSE,45,25,35,50,30,100,25,,,10
Perfumes,Armani,SI PASSIONE 100ML,XP167,Eau de Parfum,,https://i.ebayimg.com/images/g/9icAAOSwYiZmlX8Y/s-l1600.webp,TRUE,FALSE,45,25,35,50,30,100,25,,,10
Perfumes,Armani,BLANC KOGANE 100 ML,XP240,Eau de Parfum,,https://i.ebayimg.com/images/g/dREAAeSwlVRov0Mb/s-l1600.webp,TRUE,FALSE,45,25,35,50,30,100,25,,,10
Perfumes,Armani,NOIR KOGANE 100ML,XP241,Eau de Parfum,,https://i.ebayimg.com/images/g/MugAAeSwTzRovTBE/s-l1600.webp,TRUE,FALSE,45,25,35,50,30,100,25,,,10
