categoria,subcategoria,nombre,sku,descripcion,imagen_url,disponible,destacado,precio_1,qty_tier2,precio_tier2,qty_tier3,precio_tier3,qty_tier4,precio_tier4,qty_tier5,precio_tier5,qty_minima,tallas,stock
Lululemon,Waist Bags,Waist Bag - Lake Blue,YB-002,,,TRUE,FALSE,,,,,,,,,,,1,,75
Lululemon,Waist Bags,Waist Bag - Cherry Blossom Pink,YB-005,,,TRUE,FALSE,,,,,,,,,,,1,,97
Lululemon,Waist Bags,Waist Bag - Washed White,YB-007,,,TRUE,FALSE,,,,,,,,,,,1,,145
Lululemon,Waist Bags,Waist Bag - Bright Red,YB-008,,,TRUE,FALSE,,,,,,,,,,,1,,76
Lululemon,Waist Bags,Waist Bag - Lemon Yellow,YB-009,,,TRUE,FALSE,,,,,,,,,,,1,,5
Lululemon,Waist Bags,Waist Bag - Beige,YB-013,,,TRUE,FALSE,,,,,,,,,,,1,,1
Lululemon,Waist Bags,Waist Bag - Rose Red,YB-014,,,TRUE,FALSE,,,,,,,,,,,1,,124
Lululemon,Waist Bags,Waist Bag - White,YB-015,,,TRUE,FALSE,,,,,,,,,,,1,,75
Lululemon,Waist Bags,Waist Bag - Red,YB-017,,,TRUE,FALSE,,,,,,,,,,,1,,356
Lululemon,Waist Bags,Waist Bag - Brown,YB-019,,,TRUE,FALSE,,,,,,,,,,,1,,1
Lululemon,Waist Bags,Waist Bag - Army Green,YB-022,,,TRUE,FALSE,,,,,,,,,,,1,,100
Lululemon,Waist Bags,Waist Bag - Black,YB-024,,,TRUE,FALSE,,,,,,,,,,,1,,143
Lululemon,Waist Bags,Waist Bag - Fluorescent Green,YB-029,,,TRUE,FALSE,,,,,,,,,,,1,,8
Lululemon,Waist Bags,Waist Bag - Dark Pink Logo White,YB-032,,,TRUE,FALSE,,,,,,,,,,,1,,245
Lululemon,Waist Bags,Waist Bag - Black Logo White,YB-033,,,TRUE,FALSE,,,,,,,,,,,1,,36
Lululemon,Waist Bags,Waist Bag - Silver Gray Logo White,YB-034,,,TRUE,FALSE,,,,,,,,,,,1,,66
Lululemon,Waist Bags,Waist Bag - Red Logo White,YB-036,,,TRUE,FALSE,,,,,,,,,,,1,,75
Lululemon,Waist Bags,Waist Bag - Sapphire Blue Logo Gold,YB-037,,,TRUE,FALSE,,,,,,,,,,,1,,91
Lululemon,Waist Bags,Waist Bag - Blue Gold Logo Gold,YB-039,,,TRUE,FALSE,,,,,,,,,,,1,,104
Lululemon,Waist Bags,Waist Bag - Pink Gold Logo Gold,YB-040,,,TRUE,FALSE,,,,,,,,,,,1,,338
Lululemon,Waist Bags,Waist Bag - Black Gold Logo Gold,YB-043,,,TRUE,FALSE,,,,,,,,,,,1,,235
Lululemon,Waist Bags,Waist Bag - Black Grey Logo Gold,YB-045,,,TRUE,FALSE,,,,,,,,,,,1,,238
Lululemon,Waist Bags,Waist Bag - Purple Gold Logo Gold,YB-046,,,TRUE,FALSE,,,,,,,,,,,1,,310
Lululemon,Waist Bags,Waist Bag - Pink Grey Logo Gold,YB-047,,,TRUE,FALSE,,,,,,,,,,,1,,18
Lululemon,Waist Bags,Waist Bag - Red Mickey,YB-054,,,TRUE,FALSE,,,,,,,,,,,1,,93
Lululemon,Waist Bags,Waist Bag - White Picture Mickey,YB-056,,,TRUE,FALSE,,,,,,,,,,,1,,208
Lululemon,Waist Bags,Waist Bag - Black Picture Mickey,YB-057,,,TRUE,FALSE,,,,,,,,,,,1,,182
Lululemon,Waist Bags,Waist Bag - Mickey Head,YB-058,,,TRUE,FALSE,,,,,,,,,,,1,,55
Lululemon,Waist Bags,Waist Bag - Dark Pink 2L,YB-060,,,TRUE,FALSE,,,,,,,,,,,1,,31
Lululemon,Waist Bags,Waist Bag - Pink 2L,YB-061,,,TRUE,FALSE,,,,,,,,,,,1,,19
Lululemon,Waist Bags,Waist Bag - Dark Blue 2L,YB-062,,,TRUE,FALSE,,,,,,,,,,,1,,22
Lululemon,Waist Bags,Waist Bag - Wine Red 2L,YB-063,,,TRUE,FALSE,,,,,,,,,,,1,,36
Lululemon,Waist Bags,Waist Bag - Red 2L,YB-064,,,TRUE,FALSE,,,,,,,,,,,1,,45
Lululemon,Waist Bags,Waist Bag - Olive Drab 2L,YB-066,,,TRUE,FALSE,,,,,,,,,,,1,,37
Lululemon,Waist Bags,Waist Bag - Cream 2L,YB-069,,,TRUE,FALSE,,,,,,,,,,,1,,33
Lululemon,Waist Bags,Waist Bag - Black 2L,YB-070,,,TRUE,FALSE,,,,,,,,,,,1,,10
Lululemon,Waist Bags,Waist Bag - White Grey 2L Logo Gold,YB-071,,,TRUE,FALSE,,,,,,,,,,,1,,14
Lululemon,Waist Bags,Waist Bag - Sapphire Blue 2L Logo Gold,YB-072,,,TRUE,FALSE,,,,,,,,,,,1,,30
Lululemon,Waist Bags,Waist Bag - Wine Red 2L Logo Gold,YB-073,,,TRUE,FALSE,,,,,,,,,,,1,,24
Lululemon,Waist Bags,Waist Bag - Light Blue 2L Logo Gold,YB-074,,,TRUE,FALSE,,,,,,,,,,,1,,29
Lululemon,Waist Bags,Waist Bag - Black Gold 2L Logo Gold,YB-075,,,TRUE,FALSE,,,,,,,,,,,1,,7
Lululemon,Waist Bags,Waist Bag - Blue Black 2L,YB-076,,,TRUE,FALSE,,,,,,,,,,,1,,36
Lululemon,Waist Bags,Waist Bag - Dark Purple,YB-077,,,TRUE,FALSE,,,,,,,,,,,1,,106
Lululemon,Waist Bags,Waist Bag - Camo Red,YB-079,,,TRUE,FALSE,,,,,,,,,,,1,,56
Lululemon,Key Pouches,Key Pouch - Pink Dark Pink,YS-001,,,TRUE,FALSE,,,,,,,,,,,1,,493
Lululemon,Key Pouches,Key Pouch - Vermilion Beige,YS-002,,,TRUE,FALSE,,,,,,,,,,,1,,226
Lululemon,Key Pouches,Key Pouch - Ivory Nude,YS-003,,,TRUE,FALSE,,,,,,,,,,,1,,277
Lululemon,Key Pouches,Key Pouch - Gold Black,YS-005,,,TRUE,FALSE,,,,,,,,,,,1,,648
Lululemon,Key Pouches,Key Pouch - Ivory Royal Blue,YS-006,,,TRUE,FALSE,,,,,,,,,,,1,,856
Lululemon,Key Pouches,Key Pouch - Ivory Burgundy,YS-007,,,TRUE,FALSE,,,,,,,,,,,1,,825
Lululemon,Key Pouches,Key Pouch - Gray Pink,YS-008,,,TRUE,FALSE,,,,,,,,,,,1,,179
Lululemon,Key Pouches,Key Pouch - Blue Blue,YS-009,,,TRUE,FALSE,,,,,,,,,,,1,,389
Lululemon,Key Pouches,Key Pouch - Green Dark Green,YS-010,,,TRUE,FALSE,,,,,,,,,,,1,,141
Lululemon,Key Pouches,Key Pouch - Ivory Khaki,YS-011,,,TRUE,FALSE,,,,,,,,,,,1,,454
Lululemon,Key Pouches,Key Pouch - Brown Dark Red,YS-012,,,TRUE,FALSE,,,,,,,,,,,1,,372
Lululemon,Key Pouches,Key Pouch - White Black,YS-013,,,TRUE,FALSE,,,,,,,,,,,1,,282
Lululemon,Key Pouches,Key Pouch - Black Gunmetal,YS-014,,,TRUE,FALSE,,,,,,,,,,,1,,191
Lululemon,Key Pouches,Key Pouch - Pink Burgundy,YS-016,,,TRUE,FALSE,,,,,,,,,,,1,,433
Lululemon,Key Pouches,Key Pouch - White Dark Green,YS-017,,,TRUE,FALSE,,,,,,,,,,,1,,231
Lululemon,Key Pouches,Key Pouch - Black Olive Green,YS-018,,,TRUE,FALSE,,,,,,,,,,,1,,3
Lululemon,Key Pouches,Key Pouch - White Nude,YS-020,,,TRUE,FALSE,,,,,,,,,,,1,,271
Lululemon,Key Pouches,Key Pouch - Nude Dark Pink,YS-022,,,TRUE,FALSE,,,,,,,,,,,1,,274
Lululemon,Key Pouches,Key Pouch - Orange Nude,YS-023,,,TRUE,FALSE,,,,,,,,,,,1,,332
Lululemon,Key Pouches,Key Pouch - Purple Black,YS-026,,,TRUE,FALSE,,,,,,,,,,,1,,229
Lululemon,Key Pouches,Key Pouch - Lake Blue,YS-030,,,TRUE,FALSE,,,,,,,,,,,1,,170
Lululemon,Key Pouches,Key Pouch - Light Purple Light Purple,YS-032,,,TRUE,FALSE,,,,,,,,,,,1,,324
